"name","inn","revenue","site","cat_evidence","source","OKVED"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТРАКТАТ»","7725318562","246 327 000","http://tractat.ru/","На сайте есть упоминание в ""Критерии выбора профессионального бюро переводов""","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Бюро переводов ЭмТиЭй»","7703582806","146 043 000","https://www.mtagency.ru/ru/","https://gxp-translation.ru/vacancies/","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ТРАКТАТ24»","7716800949","137 651 000","https://awatera.com/","https://hh.ru/vacancy/128742480?utm_source=rabota-ipoisk.ru&utm_medium=ppc&utm_campaign=dm-aggregators-main_b2c-rf-paid_cpc_applicant_feed_magic=1","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Проф Лингва»","7721690184","133 601 000","https://proflingva.ru/","Значаться клиентами  https://qtrm.ru/clients/113-prof-lingva.html","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""АЛЬЯНС ГРУПП""","7705776927","114 782 000","https://agtc.ru/","Есть упоминание специалиста в области технического перевода и информационных технологий в переводе  https://priem.mai.ru/base/programs/perevod-i-perevodovedenie-v-aerokosmicheskoy-otrasli/","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""РУФИЛМС""","7721570345","53 421 000","https://rusubtitles.com/","Значаться клиентами https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""ВАЙЛДБЕРРИЗ""","7721546864","657 482 218 000","https://www.wildberries.ru/","https://hh.ru/vacancy/123603245","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""ИНТЕРНЕТ РЕШЕНИЯ""","7704217370","261 369 829 000","https://www.ozon.ru/highlight/podarki-new-year/","Действуют за рубежом где требуется локализация, конкуренты используют cat-системы","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""АГЕНТСТВО ""ТРАНСЛИНК""""","7714310057","100 626 000","http://trans-lit.ru/","https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью ""КОМПАНИЯ ЭГО ТРАНСЛЕЙТИНГ""","7825496015","102 837 000","https://egotranslating.com/","https://qtrm.ru/clients","Ресурс БФО","Код 74.30: Деятельность по письменному и устному переводу"
"Общество с ограниченной ответственностью «Платежный»","7701870710","264 691 000","https://payture.com/contacts","Локализация интерфейсов платежных шлюзов, мобильных приложений, документации для международных рынков. Автоматизация критична для снижения рисков ошибок в финансовых терминах.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «М2М телематика - Алтай»","2225098863","141 529 000","https://m2m-altai.ru/","динамические обновления интерфейсов, работа с технической документацией, требования к консистентности терминов.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «Сравни.ру»","7710718303","7 854 989 000","https://www.sravni.ru/","Постоянные обновления контента, работа с 10+ языковыми версиями, необходимость консистентности финансовых терминов. Экономия за счет TM-повторов критична для частых релизов.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЦТМ-ЛИНГВА»","274949344","138 954 000","https://mmc02.ru/#","локализация технической документации, инструкций по эксплуатации и CAD-чертежей для промышленных предприятий.","РБК Компании","Код 63.1: Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет"
"Общество с ограниченной ответственностью «МАК-ЮНИТ»","4029048130","507 550 000","https://www.mak-unit.ru/","контроль качества и экономия на TM-повторах","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЛИНГВИСТ»","7715653272","120 273 000","http://www.bplingvist.ru/index.php","Локализация технической документации, юридических материалов, веб-сайтов и мобильных приложений для корпоративных клиентов. скидки за повторы и 100% совпадения из TM","РБК Компании","Код 74.30: Деятельность по письменному и устному переводу"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ЭДВИЗОР»","7707446755","116 217 000","https://tutortop.ru/","Как IT-компания с образовательной платформой, может использовать CAT-системы для локализации интерфейса и учебных материалов","РБК Компании","Код 62.01 Разработка компьютерного программного обеспечения"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «ГЕТБЛОГГЕР»","7709975183","1 440 723 000","https://new.getblogger.ru/cpp","Необходимость локализации рекламных креативов для разных стран требует использования CAT-систем для обеспечения скорости, качества и учета культурных особенностей.","РБК Компании","Код 63.12: Деятельность web-порталов"
"Общество с ограниченной ответственностью «Информационное агентство «Банки.ру»","7723527345","3 779 071 000","https://www.banki.ru/","Как крупный финансовый портал может использовать CAT-системы для локализации интерфейса и контента для международных пользователей","РБК Компании","Код 63.12: Деятельность web-порталов"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «А3 ИНЖИНИРИНГ»","7719455867","332 367 000","https://a3-eng.com/","Локализация технической документации, руководств по эксплуатации и программного обеспечения для оборудования","РБК Компании","Код 71.20: Технические испытания, исследования, анализ и сертификация"
